  instanceFile;      delaunay; delImprd; delLSFlips; bestTriang; bestTriangImprd; bestTriangFlips;  time; comment
./uniform_032_10.in; 1.272123; 1.272123;          0;   1.272123;        1.272123;               0;  2190; grasp
./uniform_032_11.in; 1.318115; 1.295540;          1;   1.318115;        1.295540;               1;  2553; grasp
./uniform_032_12.in; 1.275115; 1.275115;          0;   1.275115;        1.275115;               0;  2172; grasp
./uniform_032_13.in; 1.305114; 1.305114;          0;   1.305114;        1.305114;               0;  2115; grasp
./uniform_032_14.in; 1.306819; 1.306819;          0;   1.306819;        1.306819;               0;  2254; grasp
./uniform_032_15.in; 1.348565; 1.320413;          1;   1.348565;        1.320413;               1;  2127; grasp
./uniform_032_16.in; 1.345660; 1.282557;          2;   1.345660;        1.282557;               2;  2226; grasp
./uniform_032_17.in; 1.309760; 1.302959;          1;   1.309760;        1.302959;               1;  2214; grasp
./uniform_032_18.in; 1.289632; 1.289632;          0;   1.289632;        1.289632;               0;  2245; grasp
./uniform_032_19.in; 1.251990; 1.251990;          0;   1.251990;        1.251990;               0;  2212; grasp
./uniform_032_20.in; 1.287506; 1.287506;          0;   3.904091;        1.279382;               5;  2243; grasp
./uniform_032_21.in; 1.395423; 1.308490;          2;   1.395423;        1.308490;               2;  2150; grasp
./uniform_032_22.in; 1.306681; 1.306681;          0;   1.306681;        1.306681;               0;  2164; grasp
./uniform_032_23.in; 1.295554; 1.270292;          1;   1.295554;        1.270292;               1;  2142; grasp
./uniform_032_24.in; 1.352200; 1.322158;          1;   1.352200;        1.322158;               1;  2282; grasp
./uniform_032_25.in; 1.321818; 1.228508;          4;   1.321818;        1.228508;               4;  2283; grasp
./uniform_032_26.in; 1.268824; 1.255176;          3;   1.268824;        1.255176;               3;  2353; grasp
./uniform_032_27.in; 1.306134; 1.293109;          1;   1.306134;        1.293109;               1;  2255; grasp
./uniform_032_28.in; 1.336840; 1.230665;          2;   1.336840;        1.230665;               2;  2151; grasp
./uniform_032_29.in; 1.374262; 1.320193;          2;   1.374262;        1.320193;               2;  2311; grasp
./uniform_033_00.in; 1.304568; 1.304568;          0;   1.304568;        1.304568;               0;  2257; grasp
./uniform_033_01.in; 1.312326; 1.312063;          1;   1.312326;        1.312063;               1;  2329; grasp
./uniform_033_02.in; 1.254000; 1.254000;          0;   1.254000;        1.254000;               0;  3248; grasp
./uniform_033_03.in; 1.317173; 1.302194;          1;   1.317173;        1.302194;               1;  2240; grasp
./uniform_033_04.in; 1.374938; 1.333998;          1;   1.374938;        1.333998;               1;  2228; grasp
./uniform_033_05.in; 1.315604; 1.314545;          1;   1.315604;        1.314545;               1;  2302; grasp
./uniform_033_06.in; 1.333530; 1.333530;          0;   1.333530;        1.333530;               0;  2183; grasp
./uniform_033_07.in; 1.254473; 1.191108;          2;   1.254473;        1.191108;               2;  2412; grasp
./uniform_033_08.in; 1.192983; 1.192983;          0;   1.192983;        1.192983;               0;  2518; grasp
./uniform_033_09.in; 1.328999; 1.314767;          1;   1.328999;        1.314767;               1;  2292; grasp
./uniform_033_10.in; 1.247854; 1.247854;          0;   1.247854;        1.247854;               0;  2227; grasp
./uniform_033_11.in; 1.310182; 1.298854;          1;   1.310182;        1.298854;               1;  2351; grasp
./uniform_033_12.in; 1.307303; 1.307303;          0;   1.307303;        1.307303;               0;  2300; grasp
./uniform_033_13.in; 1.352395; 1.329884;          2;   1.352395;        1.329884;               2;  2296; grasp
./uniform_033_14.in; 1.339534; 1.281516;          1;   1.339534;        1.281516;               1;  2428; grasp
./uniform_033_15.in; 1.310447; 1.290642;          1;   1.310447;        1.290642;               1;  2367; grasp
./uniform_033_16.in; 1.358638; 1.340482;          2;   1.406616;        1.334921;               7;  2398; grasp
./uniform_033_17.in; 1.282890; 1.282890;          0;   1.282890;        1.282890;               0;  3256; grasp
./uniform_033_18.in; 1.292451; 1.280583;          1;   1.292451;        1.280583;               1;  2258; grasp
./uniform_033_19.in; 1.330338; 1.260266;          1;   1.330338;        1.260266;               1;  2263; grasp
./uniform_033_20.in; 1.348464; 1.309188;          1;   1.348464;        1.309188;               1;  2425; grasp
./uniform_033_21.in; 1.342629; 1.342629;          0;   1.342629;        1.342629;               0;  2273; grasp
./uniform_033_22.in; 1.287406; 1.287406;          0;   1.287406;        1.287406;               0;  2273; grasp
./uniform_033_23.in; 1.300445; 1.300445;          0;   1.300445;        1.300445;               0;  2359; grasp
./uniform_033_24.in; 1.285075; 1.275575;          2;   1.285075;        1.275575;               2;  2181; grasp
./uniform_033_25.in; 1.325267; 1.325267;          0;   1.439350;        1.312597;               4;  2200; grasp
./uniform_033_26.in; 1.300233; 1.300233;          0;   1.300233;        1.300233;               0;  2289; grasp
./uniform_033_27.in; 1.289393; 1.275748;          1;   1.289393;        1.275748;               1;  2233; grasp
./uniform_033_28.in; 1.382086; 1.319845;          1;   1.875052;        1.285391;               5;  2186; grasp
./uniform_033_29.in; 1.306138; 1.258257;          2;   1.306138;        1.258257;               2;  2183; grasp
./uniform_034_00.in; 1.278222; 1.278222;          0;   1.278222;        1.278222;               0;  2529; grasp
./uniform_034_01.in; 1.255458; 1.250337;          1;   1.255458;        1.250337;               1;  2672; grasp
./uniform_034_02.in; 1.374906; 1.374906;          0;   1.374906;        1.374906;               0;  2701; grasp
./uniform_034_03.in; 1.284580; 1.232895;          2;   1.284580;        1.232895;               2;  2593; grasp
./uniform_034_04.in; 1.311270; 1.311270;          0;   1.311270;        1.311270;               0;  2521; grasp
./uniform_034_05.in; 1.370404; 1.330244;          1;   1.370404;        1.330244;               1;  2648; grasp
./uniform_034_06.in; 1.369110; 1.369110;          0;   1.369110;        1.369110;               0;  2634; grasp
./uniform_034_07.in; 1.291893; 1.291893;          0;   1.291893;        1.291893;               0;  2579; grasp
./uniform_034_08.in; 1.290218; 1.290218;          0;   1.290218;        1.290218;               0;  2819; grasp
./uniform_034_09.in; 1.348394; 1.287104;          3;   1.348394;        1.287104;               3;  2847; grasp
./uniform_034_10.in; 1.294969; 1.294734;          1;   1.294969;        1.294734;               1;  2582; grasp
./uniform_034_11.in; 1.320218; 1.320218;          0;   1.313105;        1.279841;               4;  3710; grasp
./uniform_034_12.in; 1.391974; 1.290926;          2;   1.326526;        1.271338;               3;  2848; grasp
./uniform_034_13.in; 1.335310; 1.286372;          1;   1.335310;        1.286372;               1;  2716; grasp
./uniform_034_14.in; 1.315280; 1.315280;          0;   1.315280;        1.315280;               0;  2896; grasp
./uniform_034_15.in; 1.265791; 1.265791;          0;   1.265791;        1.265791;               0;  2659; grasp
./uniform_034_16.in; 1.215788; 1.215788;          0;   1.215788;        1.215788;               0;  2736; grasp
./uniform_034_17.in; 1.325061; 1.325061;          0;   1.325061;        1.325061;               0;  2698; grasp
./uniform_034_18.in; 1.282901; 1.229130;          3;   1.282901;        1.229130;               3;  2542; grasp
./uniform_034_19.in; 1.287821; 1.287821;          0;   1.287821;        1.287821;               0;  2515; grasp
./uniform_034_20.in; 1.302823; 1.281024;          1;   1.302823;        1.281024;               1;  2721; grasp
./uniform_034_21.in; 1.320932; 1.320932;          0;   1.320932;        1.320932;               0;  2738; grasp
./uniform_034_22.in; 1.372023; 1.361662;          1;   1.372023;        1.361662;               1;  2600; grasp
./uniform_034_23.in; 1.357235; 1.305523;          2;   1.357235;        1.305523;               2;  2617; grasp
./uniform_034_24.in; 1.236139; 1.236139;          0;   1.236139;        1.236139;               0;  2629; grasp
./uniform_034_25.in; 1.336730; 1.289499;          1;   1.336730;        1.289499;               1;  2605; grasp
./uniform_034_26.in; 1.308337; 1.308337;          0;   1.308337;        1.308337;               0;  2772; grasp
./uniform_034_27.in; 1.325888; 1.325888;          0;   1.325888;        1.325888;               0;  2723; grasp
./uniform_034_28.in; 1.310028; 1.274816;          2;   2.265938;        1.241890;               5;  2629; grasp
./uniform_034_29.in; 1.364743; 1.285429;          1;   1.364743;        1.285429;               1;  2732; grasp
./uniform_035_00.in; 1.292957; 1.260926;          2;   1.292957;        1.260926;               2;  2794; grasp
./uniform_035_01.in; 1.333122; 1.324342;          1;   1.333122;        1.324342;               1;  2641; grasp
./uniform_035_02.in; 1.331382; 1.330849;          1;   1.331382;        1.330849;               1;  3318; grasp
./uniform_035_03.in; 1.237847; 1.237847;          0;   1.237847;        1.237847;               0;  2708; grasp
./uniform_035_04.in; 1.373863; 1.346178;          3;   1.336393;        1.332146;               2;  2709; grasp
./uniform_035_05.in; 1.358996; 1.354340;          1;   1.434187;        1.311661;               6;  3123; grasp
./uniform_035_06.in; 1.277362; 1.269551;          1;   1.326275;        1.255042;               5;  2733; grasp
./uniform_035_07.in; 1.352087; 1.337488;          1;   1.285280;        1.276226;               1;  2632; grasp
./uniform_035_08.in; 1.273818; 1.265801;          1;   1.273818;        1.265801;               1;  2972; grasp
./uniform_035_09.in; 1.285858; 1.260812;          1;   1.792916;        1.259992;               4;  2942; grasp
./uniform_035_10.in; 1.348378; 1.316791;          1;   1.348378;        1.316791;               1;  2733; grasp
./uniform_035_11.in; 1.249167; 1.249167;          0;   1.249167;        1.249167;               0;  2757; grasp
./uniform_035_12.in; 1.302608; 1.251663;          2;   2.369315;        1.240439;              10;  3005; grasp
./uniform_035_13.in; 1.293017; 1.293017;          0;   1.293017;        1.293017;               0;  2692; grasp
./uniform_035_14.in; 1.328128; 1.304914;          2;   1.328128;        1.304914;               2;  2840; grasp
./uniform_035_15.in; 1.273289; 1.273190;          1;   1.413136;        1.259733;               3;  2815; grasp
./uniform_035_16.in; 1.340113; 1.306456;          2;   1.302152;        1.282246;               2;  2840; grasp
./uniform_035_17.in; 1.355939; 1.283036;          3;   1.275632;        1.275632;               0;  2805; grasp
./uniform_035_18.in; 1.307137; 1.294385;          2;   1.287713;        1.287713;               0;  2860; grasp
./uniform_035_19.in; 1.334636; 1.324927;          1;   1.598201;        1.303412;              10;  2742; grasp
./uniform_035_20.in; 1.336518; 1.291480;          2;   1.336518;        1.291480;               2;  2951; grasp
./uniform_035_21.in; 1.296034; 1.296034;          0;   1.296034;        1.296034;               0;  2746; grasp
./uniform_035_22.in; 1.371520; 1.325090;          1;   1.371520;        1.325090;               1;  2547; grasp
./uniform_035_23.in; 1.354236; 1.278059;          2;   1.354236;        1.278059;               2;  2867; grasp
./uniform_035_24.in; 1.308618; 1.308618;          0;   1.308618;        1.308618;               0;  2634; grasp
./uniform_035_25.in; 1.325185; 1.290327;          3;   1.264495;        1.251542;               3;  3004; grasp
./uniform_035_26.in; 1.244495; 1.233084;          1;   1.244495;        1.233084;               1;  2728; grasp
./uniform_035_27.in; 1.270524; 1.258479;          1;   1.270524;        1.258479;               1;  2719; grasp
./uniform_035_28.in; 1.324576; 1.288438;          1;   1.324576;        1.288438;               1;  2665; grasp
./uniform_035_29.in; 1.381866; 1.281372;          3;   1.381866;        1.281372;               3;  2847; grasp
